,exchange,token,symbol,name,expiry,lot_size
0,NFO,39088,BANKNIFTY 02 SEP21 30700.0 CE,,2021-09-02,25
1,NFO,39104,BANKNIFTY 02 SEP21 30700.0 PE,,2021-09-02,25
2,NFO,39107,BANKNIFTY 02 SEP21 30800.0 CE,,2021-09-02,25
3,NFO,39108,BANKNIFTY 02 SEP21 30800.0 PE,,2021-09-02,25
4,NFO,39109,BANKNIFTY 02 SEP21 30900.0 CE,,2021-09-02,25
5,NFO,39110,BANKNIFTY 02 SEP21 30900.0 PE,,2021-09-02,25
6,NFO,39111,BANKNIFTY 02 SEP21 31000.0 CE,,2021-09-02,25
7,NFO,39127,BANKNIFTY 02 SEP21 31000.0 PE,,2021-09-02,25
8,NFO,39128,BANKNIFTY 02 SEP21 31100.0 CE,,2021-09-02,25
9,NFO,39130,BANKNIFTY 02 SEP21 31100.0 PE,,2021-09-02,25
10,NFO,39138,BANKNIFTY 02 SEP21 31200.0 CE,,2021-09-02,25
11,NFO,39151,BANKNIFTY 02 SEP21 31200.0 PE,,2021-09-02,25
12,NFO,39152,BANKNIFTY 02 SEP21 31300.0 CE,,2021-09-02,25
13,NFO,39159,BANKNIFTY 02 SEP21 31300.0 PE,,2021-09-02,25
14,NFO,39160,BANKNIFTY 02 SEP21 31400.0 CE,,2021-09-02,25
15,NFO,39196,BANKNIFTY 02 SEP21 31400.0 PE,,2021-09-02,25
16,NFO,39203,BANKNIFTY 02 SEP21 31500.0 CE,,2021-09-02,25
17,NFO,39204,BANKNIFTY 02 SEP21 31500.0 PE,,2021-09-02,25
18,NFO,39208,BANKNIFTY 02 SEP21 31600.0 CE,,2021-09-02,25
19,NFO,39229,BANKNIFTY 02 SEP21 31600.0 PE,,2021-09-02,25
20,NFO,39230,BANKNIFTY 02 SEP21 31700.0 CE,,2021-09-02,25
21,NFO,39231,BANKNIFTY 02 SEP21 31700.0 PE,,2021-09-02,25
22,NFO,39234,BANKNIFTY 02 SEP21 31800.0 CE,,2021-09-02,25
23,NFO,39235,BANKNIFTY 02 SEP21 31800.0 PE,,2021-09-02,25
24,NFO,39236,BANKNIFTY 02 SEP21 31900.0 CE,,2021-09-02,25
25,NFO,39237,BANKNIFTY 02 SEP21 31900.0 PE,,2021-09-02,25
26,NFO,39238,BANKNIFTY 02 SEP21 32000.0 CE,,2021-09-02,25
27,NFO,39239,BANKNIFTY 02 SEP21 32000.0 PE,,2021-09-02,25
28,NFO,39242,BANKNIFTY 02 SEP21 32100.0 CE,,2021-09-02,25
29,NFO,39254,BANKNIFTY 02 SEP21 32100.0 PE,,2021-09-02,25
30,NFO,39255,BANKNIFTY 02 SEP21 32200.0 CE,,2021-09-02,25
31,NFO,39266,BANKNIFTY 02 SEP21 32200.0 PE,,2021-09-02,25
32,NFO,39267,BANKNIFTY 02 SEP21 32300.0 CE,,2021-09-02,25
33,NFO,39270,BANKNIFTY 02 SEP21 32300.0 PE,,2021-09-02,25
34,NFO,39297,BANKNIFTY 02 SEP21 32400.0 CE,,2021-09-02,25
35,NFO,39298,BANKNIFTY 02 SEP21 32400.0 PE,,2021-09-02,25
36,NFO,39300,BANKNIFTY 02 SEP21 32500.0 CE,,2021-09-02,25
37,NFO,39301,BANKNIFTY 02 SEP21 32500.0 PE,,2021-09-02,25
38,NFO,39302,BANKNIFTY 02 SEP21 32600.0 CE,,2021-09-02,25
39,NFO,39306,BANKNIFTY 02 SEP21 32600.0 PE,,2021-09-02,25
40,NFO,39320,BANKNIFTY 02 SEP21 32700.0 CE,,2021-09-02,25
41,NFO,39321,BANKNIFTY 02 SEP21 32700.0 PE,,2021-09-02,25
42,NFO,39322,BANKNIFTY 02 SEP21 32800.0 CE,,2021-09-02,25
43,NFO,39323,BANKNIFTY 02 SEP21 32800.0 PE,,2021-09-02,25
44,NFO,39328,BANKNIFTY 02 SEP21 32900.0 CE,,2021-09-02,25
45,NFO,39329,BANKNIFTY 02 SEP21 32900.0 PE,,2021-09-02,25
46,NFO,39353,BANKNIFTY 02 SEP21 33000.0 CE,,2021-09-02,25
47,NFO,39354,BANKNIFTY 02 SEP21 33000.0 PE,,2021-09-02,25
48,NFO,39355,BANKNIFTY 02 SEP21 33100.0 CE,,2021-09-02,25
49,NFO,39356,BANKNIFTY 02 SEP21 33100.0 PE,,2021-09-02,25
50,NFO,39358,BANKNIFTY 02 SEP21 33200.0 CE,,2021-09-02,25
51,NFO,39359,BANKNIFTY 02 SEP21 33200.0 PE,,2021-09-02,25
52,NFO,39365,BANKNIFTY 02 SEP21 33300.0 CE,,2021-09-02,25
53,NFO,39366,BANKNIFTY 02 SEP21 33300.0 PE,,2021-09-02,25
54,NFO,39367,BANKNIFTY 02 SEP21 33400.0 CE,,2021-09-02,25
55,NFO,39368,BANKNIFTY 02 SEP21 33400.0 PE,,2021-09-02,25
56,NFO,39389,BANKNIFTY 02 SEP21 33500.0 CE,,2021-09-02,25
57,NFO,39392,BANKNIFTY 02 SEP21 33500.0 PE,,2021-09-02,25
58,NFO,39393,BANKNIFTY 02 SEP21 33600.0 CE,,2021-09-02,25
59,NFO,39399,BANKNIFTY 02 SEP21 33600.0 PE,,2021-09-02,25
60,NFO,39403,BANKNIFTY 02 SEP21 33700.0 CE,,2021-09-02,25
61,NFO,39405,BANKNIFTY 02 SEP21 33700.0 PE,,2021-09-02,25
62,NFO,39407,BANKNIFTY 02 SEP21 33800.0 CE,,2021-09-02,25
63,NFO,39410,BANKNIFTY 02 SEP21 33800.0 PE,,2021-09-02,25
64,NFO,39411,BANKNIFTY 02 SEP21 33900.0 CE,,2021-09-02,25
65,NFO,39432,BANKNIFTY 02 SEP21 33900.0 PE,,2021-09-02,25
66,NFO,39433,BANKNIFTY 02 SEP21 34000.0 CE,,2021-09-02,25
67,NFO,39439,BANKNIFTY 02 SEP21 34000.0 PE,,2021-09-02,25
68,NFO,39440,BANKNIFTY 02 SEP21 34100.0 CE,,2021-09-02,25
69,NFO,39441,BANKNIFTY 02 SEP21 34100.0 PE,,2021-09-02,25
70,NFO,39442,BANKNIFTY 02 SEP21 34200.0 CE,,2021-09-02,25
71,NFO,39447,BANKNIFTY 02 SEP21 34200.0 PE,,2021-09-02,25
72,NFO,39450,BANKNIFTY 02 SEP21 34300.0 CE,,2021-09-02,25
73,NFO,39492,BANKNIFTY 02 SEP21 34300.0 PE,,2021-09-02,25
74,NFO,39493,BANKNIFTY 02 SEP21 34400.0 CE,,2021-09-02,25
75,NFO,39494,BANKNIFTY 02 SEP21 34400.0 PE,,2021-09-02,25
76,NFO,39497,BANKNIFTY 02 SEP21 34500.0 CE,,2021-09-02,25
77,NFO,39499,BANKNIFTY 02 SEP21 34500.0 PE,,2021-09-02,25
78,NFO,39500,BANKNIFTY 02 SEP21 34600.0 CE,,2021-09-02,25
79,NFO,39513,BANKNIFTY 02 SEP21 34600.0 PE,,2021-09-02,25
80,NFO,39514,BANKNIFTY 02 SEP21 34700.0 CE,,2021-09-02,25
81,NFO,39521,BANKNIFTY 02 SEP21 34700.0 PE,,2021-09-02,25
82,NFO,39522,BANKNIFTY 02 SEP21 34800.0 CE,,2021-09-02,25
83,NFO,39523,BANKNIFTY 02 SEP21 34800.0 PE,,2021-09-02,25
84,NFO,39524,BANKNIFTY 02 SEP21 34900.0 CE,,2021-09-02,25
85,NFO,39525,BANKNIFTY 02 SEP21 34900.0 PE,,2021-09-02,25
86,NFO,39527,BANKNIFTY 02 SEP21 35000.0 CE,,2021-09-02,25
87,NFO,39531,BANKNIFTY 02 SEP21 35000.0 PE,,2021-09-02,25
88,NFO,39533,BANKNIFTY 02 SEP21 35100.0 CE,,2021-09-02,25
89,NFO,39542,BANKNIFTY 02 SEP21 35100.0 PE,,2021-09-02,25
90,NFO,39543,BANKNIFTY 02 SEP21 35200.0 CE,,2021-09-02,25
91,NFO,39549,BANKNIFTY 02 SEP21 35200.0 PE,,2021-09-02,25
92,NFO,39551,BANKNIFTY 02 SEP21 35300.0 CE,,2021-09-02,25
93,NFO,39563,BANKNIFTY 02 SEP21 35300.0 PE,,2021-09-02,25
94,NFO,39564,BANKNIFTY 02 SEP21 35400.0 CE,,2021-09-02,25
95,NFO,39565,BANKNIFTY 02 SEP21 35400.0 PE,,2021-09-02,25
96,NFO,39566,BANKNIFTY 02 SEP21 35500.0 CE,,2021-09-02,25
97,NFO,39567,BANKNIFTY 02 SEP21 35500.0 PE,,2021-09-02,25
98,NFO,39568,BANKNIFTY 02 SEP21 35600.0 CE,,2021-09-02,25
99,NFO,39569,BANKNIFTY 02 SEP21 35600.0 PE,,2021-09-02,25
100,NFO,39570,BANKNIFTY 02 SEP21 35700.0 CE,,2021-09-02,25
101,NFO,39571,BANKNIFTY 02 SEP21 35700.0 PE,,2021-09-02,25
102,NFO,39572,BANKNIFTY 02 SEP21 35800.0 CE,,2021-09-02,25
103,NFO,39575,BANKNIFTY 02 SEP21 35800.0 PE,,2021-09-02,25
104,NFO,39576,BANKNIFTY 02 SEP21 35900.0 CE,,2021-09-02,25
105,NFO,39577,BANKNIFTY 02 SEP21 35900.0 PE,,2021-09-02,25
106,NFO,39578,BANKNIFTY 02 SEP21 36000.0 CE,,2021-09-02,25
107,NFO,39579,BANKNIFTY 02 SEP21 36000.0 PE,,2021-09-02,25
108,NFO,39581,BANKNIFTY 02 SEP21 36100.0 CE,,2021-09-02,25
109,NFO,39584,BANKNIFTY 02 SEP21 36100.0 PE,,2021-09-02,25
110,NFO,39585,BANKNIFTY 02 SEP21 36200.0 CE,,2021-09-02,25
111,NFO,39586,BANKNIFTY 02 SEP21 36200.0 PE,,2021-09-02,25
112,NFO,39589,BANKNIFTY 02 SEP21 36300.0 CE,,2021-09-02,25
113,NFO,39590,BANKNIFTY 02 SEP21 36300.0 PE,,2021-09-02,25
114,NFO,39591,BANKNIFTY 02 SEP21 36400.0 CE,,2021-09-02,25
115,NFO,39592,BANKNIFTY 02 SEP21 36400.0 PE,,2021-09-02,25
116,NFO,39593,BANKNIFTY 02 SEP21 36500.0 CE,,2021-09-02,25
117,NFO,39595,BANKNIFTY 02 SEP21 36500.0 PE,,2021-09-02,25
118,NFO,39596,BANKNIFTY 02 SEP21 36600.0 CE,,2021-09-02,25
119,NFO,39597,BANKNIFTY 02 SEP21 36600.0 PE,,2021-09-02,25
120,NFO,39600,BANKNIFTY 02 SEP21 36700.0 CE,,2021-09-02,25
121,NFO,39606,BANKNIFTY 02 SEP21 36700.0 PE,,2021-09-02,25
122,NFO,39608,BANKNIFTY 02 SEP21 36800.0 CE,,2021-09-02,25
123,NFO,39611,BANKNIFTY 02 SEP21 36800.0 PE,,2021-09-02,25
124,NFO,39615,BANKNIFTY 02 SEP21 36900.0 CE,,2021-09-02,25
125,NFO,39619,BANKNIFTY 02 SEP21 36900.0 PE,,2021-09-02,25
126,NFO,39622,BANKNIFTY 02 SEP21 37000.0 CE,,2021-09-02,25
127,NFO,39624,BANKNIFTY 02 SEP21 37000.0 PE,,2021-09-02,25
128,NFO,39625,BANKNIFTY 02 SEP21 37100.0 CE,,2021-09-02,25
129,NFO,39634,BANKNIFTY 02 SEP21 37100.0 PE,,2021-09-02,25
130,NFO,39635,BANKNIFTY 02 SEP21 37200.0 CE,,2021-09-02,25
131,NFO,39643,BANKNIFTY 02 SEP21 37200.0 PE,,2021-09-02,25
132,NFO,39648,BANKNIFTY 02 SEP21 37300.0 CE,,2021-09-02,25
133,NFO,39654,BANKNIFTY 02 SEP21 37300.0 PE,,2021-09-02,25
134,NFO,39655,BANKNIFTY 02 SEP21 37400.0 CE,,2021-09-02,25
135,NFO,39662,BANKNIFTY 02 SEP21 37400.0 PE,,2021-09-02,25
136,NFO,39663,BANKNIFTY 02 SEP21 37500.0 CE,,2021-09-02,25
137,NFO,39670,BANKNIFTY 02 SEP21 37500.0 PE,,2021-09-02,25
138,NFO,39671,BANKNIFTY 02 SEP21 37600.0 CE,,2021-09-02,25
139,NFO,39674,BANKNIFTY 02 SEP21 37600.0 PE,,2021-09-02,25
140,NFO,39675,BANKNIFTY 02 SEP21 37700.0 CE,,2021-09-02,25
141,NFO,39683,BANKNIFTY 02 SEP21 37700.0 PE,,2021-09-02,25
142,NFO,39685,BANKNIFTY 02 SEP21 37800.0 CE,,2021-09-02,25
143,NFO,39686,BANKNIFTY 02 SEP21 37800.0 PE,,2021-09-02,25
144,NFO,39687,BANKNIFTY 02 SEP21 37900.0 CE,,2021-09-02,25
145,NFO,39694,BANKNIFTY 02 SEP21 37900.0 PE,,2021-09-02,25
146,NFO,39695,BANKNIFTY 02 SEP21 38000.0 CE,,2021-09-02,25
147,NFO,39700,BANKNIFTY 02 SEP21 38000.0 PE,,2021-09-02,25
148,NFO,39701,BANKNIFTY 02 SEP21 38100.0 CE,,2021-09-02,25
149,NFO,39702,BANKNIFTY 02 SEP21 38100.0 PE,,2021-09-02,25
150,NFO,39704,BANKNIFTY 02 SEP21 38200.0 CE,,2021-09-02,25
151,NFO,39711,BANKNIFTY 02 SEP21 38200.0 PE,,2021-09-02,25
152,NFO,39712,BANKNIFTY 02 SEP21 38300.0 CE,,2021-09-02,25
153,NFO,39713,BANKNIFTY 02 SEP21 38300.0 PE,,2021-09-02,25
154,NFO,39714,BANKNIFTY 02 SEP21 38400.0 CE,,2021-09-02,25
155,NFO,39731,BANKNIFTY 02 SEP21 38400.0 PE,,2021-09-02,25
156,NFO,39732,BANKNIFTY 02 SEP21 38500.0 CE,,2021-09-02,25
157,NFO,39733,BANKNIFTY 02 SEP21 38500.0 PE,,2021-09-02,25
158,NFO,39737,BANKNIFTY 02 SEP21 38600.0 CE,,2021-09-02,25
159,NFO,39738,BANKNIFTY 02 SEP21 38600.0 PE,,2021-09-02,25
160,NFO,39747,BANKNIFTY 02 SEP21 38700.0 CE,,2021-09-02,25
161,NFO,39748,BANKNIFTY 02 SEP21 38700.0 PE,,2021-09-02,25
162,NFO,35000,BANKNIFTY 02 SEP21 38800.0 CE,,2021-09-02,25
163,NFO,35001,BANKNIFTY 02 SEP21 38800.0 PE,,2021-09-02,25
164,NFO,41464,BANKNIFTY 02 SEP21 38900.0 CE,,2021-09-02,25
165,NFO,41465,BANKNIFTY 02 SEP21 38900.0 PE,,2021-09-02,25
166,NFO,41466,BANKNIFTY 02 SEP21 39000.0 CE,,2021-09-02,25
167,NFO,41467,BANKNIFTY 02 SEP21 39000.0 PE,,2021-09-02,25
168,NFO,41468,BANKNIFTY 02 SEP21 39100.0 CE,,2021-09-02,25
169,NFO,41471,BANKNIFTY 02 SEP21 39100.0 PE,,2021-09-02,25
170,NFO,41472,BANKNIFTY 02 SEP21 39200.0 CE,,2021-09-02,25
171,NFO,41473,BANKNIFTY 02 SEP21 39200.0 PE,,2021-09-02,25
172,NFO,42008,BANKNIFTY 02 SEP21 39300.0 CE,,2021-09-02,25
173,NFO,42009,BANKNIFTY 02 SEP21 39300.0 PE,,2021-09-02,25
174,NFO,42010,BANKNIFTY 02 SEP21 39400.0 CE,,2021-09-02,25
175,NFO,42011,BANKNIFTY 02 SEP21 39400.0 PE,,2021-09-02,25
176,NFO,42012,BANKNIFTY 02 SEP21 39500.0 CE,,2021-09-02,25
177,NFO,42013,BANKNIFTY 02 SEP21 39500.0 PE,,2021-09-02,25
178,NFO,42014,BANKNIFTY 02 SEP21 39600.0 CE,,2021-09-02,25
179,NFO,42015,BANKNIFTY 02 SEP21 39600.0 PE,,2021-09-02,25
180,NFO,42482,BANKNIFTY 02 SEP21 39700.0 CE,,2021-09-02,25
181,NFO,42483,BANKNIFTY 02 SEP21 39700.0 PE,,2021-09-02,25
182,NFO,42485,BANKNIFTY 02 SEP21 39800.0 CE,,2021-09-02,25
183,NFO,42487,BANKNIFTY 02 SEP21 39800.0 PE,,2021-09-02,25
184,NFO,46989,BANKNIFTY 05 AUG21 30600.0 CE,,2021-08-05,25
185,NFO,46990,BANKNIFTY 05 AUG21 30600.0 PE,,2021-08-05,25
186,NFO,46992,BANKNIFTY 05 AUG21 30700.0 CE,,2021-08-05,25
187,NFO,46993,BANKNIFTY 05 AUG21 30700.0 PE,,2021-08-05,25
188,NFO,42708,BANKNIFTY 05 AUG21 30800.0 CE,,2021-08-05,25
189,NFO,42709,BANKNIFTY 05 AUG21 30800.0 PE,,2021-08-05,25
190,NFO,42710,BANKNIFTY 05 AUG21 30900.0 CE,,2021-08-05,25
191,NFO,42711,BANKNIFTY 05 AUG21 30900.0 PE,,2021-08-05,25
192,NFO,42735,BANKNIFTY 05 AUG21 31000.0 CE,,2021-08-05,25
193,NFO,42736,BANKNIFTY 05 AUG21 31000.0 PE,,2021-08-05,25
194,NFO,41708,BANKNIFTY 05 AUG21 31100.0 CE,,2021-08-05,25
195,NFO,41709,BANKNIFTY 05 AUG21 31100.0 PE,,2021-08-05,25
196,NFO,41710,BANKNIFTY 05 AUG21 31200.0 CE,,2021-08-05,25
197,NFO,41712,BANKNIFTY 05 AUG21 31200.0 PE,,2021-08-05,25
198,NFO,35019,BANKNIFTY 05 AUG21 31300.0 CE,,2021-08-05,25
199,NFO,35024,BANKNIFTY 05 AUG21 31300.0 PE,,2021-08-05,25
